Feature	Gain	Cover	Frequency
Visa_delinquency	0.00083229340800964	0.00162751522810602	0.00109962612711678
cinversion1	0.000774453956446906	0.0065722784438378	0.000879700901693424
Visa_Finiciomora	0.000721997268924046	0.00257326506635619	0.000659775676270068
tpaquete9	0.000594468701661388	0.00300837482661438	0.000769738288981746
tmobile_app	0.000567906535315222	0.00683659325994225	0.000989663514405102
ccajas_trx	0.000538310403836773	0.00115853761556166	0.00054981306355839
ctarjeta_master_trx	0.000523480133833576	0.000927032442671794	0.00153947657796349
mtarjeta_visa_descuentos	0.00047268808931242	0.00393940265378084	0.00164943919067517
mcheques_emitidos	0.000454534580197541	0.00163201648815686	0.000219925225423356
tpaquete7	0.000439306085531361	0.00451000447116562	0.000659775676270068
active_quarter	0.000419514763871374	0.000607215851261602	0.000769738288981746
ccajas_extracciones	0.000387128031699742	0.00191256061802259	0.00054981306355839
Master_mpagado	0.000380145357151637	0.00558917124436297	0.000989663514405102
matm_other	0.000376340709576037	0.00185999085614446	0.00186936441609853
ctarjeta_master	0.000339776761248324	0.000421951833802246	0.000329887838135034
Master_mpagosdolares	0.000312831191604675	0.00038934350841103	0.000769738288981746
catm_trx_other	0.000312653170407463	0.00105445630087698	0.00142951396525181
ctarjeta_master_debitos_automaticos	0.000272915092354699	0.00338641872693908	0.000659775676270068
cplazo_fijo	0.000240864516891324	0.00146370446382474	0.000329887838135034
minversion2	0.000236635399056404	0.00276508998005937	0.000439850450846712
Visa_madelantodolares	0.00020567197434208	0.000318840974266147	0.000989663514405102
Master_madelantodolares	0.00019581582423518	0.00021014999762574	0.000439850450846712
cseguro_vida	0.000163757238134009	0.000385606223689922	0.000329887838135034
ccheques_emitidos	0.000156895616678671	0.000822760134154687	0.000109962612711678
tpaquete1	0.000143629568617431	0.00309316576422339	0.000439850450846712
mcaja_ahorro_adicional	0.000105789800081819	0.0020700169658789	0.000329887838135034
ctarjeta_visa_descuentos	9.22658405516002e-05	0.00129561440529788	0.000659775676270068
Master_msaldodolares	8.91029872141183e-05	5.81963369416766e-05	0.000219925225423356
Master_delinquency	8.76587750636234e-05	9.08046623328927e-05	0.000219925225423356
Master_mconsumosdolares	8.72098774544417e-05	0.000241380070226161	0.00054981306355839
internet	7.57883021488723e-05	0.00100680592068285	0.000219925225423356
mcheques_depositados	6.55738672508583e-05	0.00159742595650473	0.000219925225423356
mttarjeta_master_debitos_automaticos	5.86996369657002e-05	0.000385905619427248	0.000219925225423356
ccajeros_propios_descuentos	5.80773301703185e-05	0.00164552026830937	0.000219925225423356
ccheques_depositados	4.2826729837333e-05	0.000738098246432456	0.000109962612711678
mforex_sell	6.36373880780777e-06	0.000230529555745816	0.000439850450846712
mcajeros_propios_descuentos	5.02490534160855e-06	0.000230168216062836	0.000109962612711678
Visa_madelantopesos	4.751231069235e-06	7.54528878017107e-05	0.000219925225423356
minversion1_pesos	2.02145885179432e-06	1.90838972568191e-05	0.000109962612711678
ctarjeta_visa	1.56290169739519e-10	0.000173086870142927	0.000109962612711678
Master_madelantopesos	7.82469621544303e-11	6.15413100069778e-05	0.000219925225423356
cforex_sell	3.28564081429861e-13	0.000105758963212797	0.000109962612711678
Master_cadelantosefectivo	8.37683610493826e-14	3.05899851619989e-05	0.000109962612711678
